City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,chambas,22.1928,-78.9136,20.31,94,3,1.36,CU,1680430439
215,bayir,37.2687,28.2167,18.29,55,97,4.96,TR,1680430439
216,general pico,-35.6566,-63.7568,12.61,60,100,3.36,AR,1680430440
217,zhuhai,22.2769,113.5678,23.25,94,40,8.23,CN,1680430441
218,dhrangadhra,22.9833,71.4667,34.23,24,19,3.71,IN,1680430441
219,nelson bay,-32.7167,152.15,20.56,89,29,5.36,AU,1680430442
220,marawi,7.9986,124.2928,21.21,96,100,1.27,PH,1680430442
221,porto ferreira,-21.8539,-47.4792,18.55,94,16,2.75,BR,1680430443
222,marystown,47.1666,-55.1483,3.25,100,100,2.24,CA,1680430444
223,norman wells,65.282,-126.8329,-14.68,99,100,1.02,CA,1680430444
224,ukiah,39.1502,-123.2078,7.94,83,100,2.06,US,1680430208
225,haapiti,-17.5667,-149.8667,26.85,73,19,5.69,PF,1680430262
226,enshi,30.3,109.4833,17.85,96,100,0.33,CN,1680430446
227,vanavara,60.34,102.2797,-4.4,77,100,4.63,RU,1680430447
228,mont-de-marsan,44.0,-0.6667,14.4,82,100,5.14,FR,1680430448
229,la ronge,55.1001,-105.2842,-8.92,95,100,5.73,CA,1680430448
230,kaduqli,11.0167,29.7167,36.06,6,43,4.05,SD,1680430449
231,namatanai,-3.6667,152.4333,26.73,80,50,3.12,PG,1680430450
232,srivardhan,18.0333,73.0167,28.89,54,51,6.58,IN,1680430450
233,cape town,-33.9258,18.4232,25.06,67,0,4.12,ZA,1680430220
234,jacareacanga,-6.2222,-57.7528,22.38,100,100,0.42,BR,1680430452
235,maltahohe,-24.8333,16.9833,28.88,13,5,3.37,NA,1680430238
236,slonim,53.0867,25.3219,4.48,94,100,5.23,BY,1680430453
237,zhangjiakou,40.81,114.8794,13.03,66,100,3.38,CN,1680430454
238,namibe,-15.1961,12.1522,27.32,67,12,1.94,AO,1680430455
239,pathein,16.7833,94.7333,31.81,38,26,6.74,MM,1680430456
240,nileshwar,12.25,75.1,29.41,61,5,7.75,IN,1680430457
241,vanimo,-2.6741,141.3028,26.42,84,67,1.35,PG,1680430457
242,bubaque,11.2833,-15.8333,25.29,74,0,4.14,GW,1680430458
243,nizwa,22.9333,57.5333,25.14,37,100,2.3,OM,1680430459
244,jaciara,-15.9653,-54.9683,20.46,88,6,0.71,BR,1680430459
245,cabo san lucas,22.8909,-109.9124,23.06,59,100,4.12,MX,1680430211
246,berdyaush,55.1619,59.1464,10.69,34,32,3.31,RU,1680430461
247,talca,-35.4333,-71.6667,13.01,85,10,1.8,CL,1680430462
248,severo-yeniseyskiy,60.3725,93.0408,-6.46,86,100,7.36,RU,1680430462
249,fortuna,40.5982,-124.1573,7.19,94,73,1.77,US,1680430206
250,shingu,33.7333,135.9833,14.98,85,100,6.5,JP,1680430219
251,kitimat,54.0524,-128.6534,0.51,29,51,0.32,CA,1680430465
